,nikkei,aord,nyse,dax,ftse,hangseng,sp500,djia
2013-09-06,13860.81,5144.0,9420.348,8234.98,6547.33,22621.22,1655.08,14937.48
2013-09-09,14205.23,5179.4,9420.348,8234.98,6530.74,22750.65,1655.08,14937.48
2013-09-10,14423.36,5198.9,9539.932,8276.32,6583.99,22976.65,1671.71,15063.12
2013-09-11,14425.07,5230.6,9620.71,8446.54,6588.43,22937.14,1683.99,15191.06
2013-09-12,14387.27,5238.2,9655.3774,8495.73,6588.98,22953.72,1689.13,15326.6
2013-09-13,14404.67,5214.7,9607.3168,8494.0,6583.8,22915.28,1683.42,15300.64
2013-09-17,14311.67,5245.2,9704.47,8613.0,6570.17,23180.52,1697.6,15494.78
2013-09-18,14505.36,5230.4,9738.9262,8596.95,6558.82,23117.45,1704.76,15529.73
2013-09-19,14766.18,5288.6,9887.8809,8636.06,6625.39,23502.51,1725.52,15676.94
2013-09-20,14742.42,5270.8,9854.76,8694.18,6596.43,23502.51,1722.34,15636.55
2013-09-24,14732.61,5229.5,9733.03,8694.18,6571.46,23179.04,1701.84,15401.38
2013-09-25,14620.53,5270.1,9715.2059,8664.6,6551.53,23209.63,1697.42,15334.59
2013-09-26,14799.12,5288.2,9698.96,8665.63,6565.59,23125.03,1692.77,15273.26
2013-09-27,14760.07,5302.3,9726.26,8664.1,6512.66,23207.04,1698.67,15328.3
2013-09-30,14455.8,5217.7,9726.26,8664.1,6462.22,22859.86,1698.67,15328.3
2013-10-01,14484.72,5206.3,9621.25,8594.4,6460.01,22859.86,1681.55,15129.67
2013-10-02,14170.49,5214.9,9693.28,8689.14,6437.5,22984.48,1695.0,15191.7
2013-10-03,14157.25,5232.0,9689.3,8629.42,6449.04,23214.4,1693.87,15133.14
2013-10-04,14024.31,5205.9,9619.2,8597.91,6453.88,23138.54,1678.66,14996.48
2013-10-07,13853.32,5160.6,9619.2,8597.91,6437.28,22973.95,1678.66,14996.48
2013-10-08,13894.61,5148.1,9597.5385,8591.58,6365.83,23178.85,1676.12,14936.24
2013-10-09,14037.84,5151.6,9483.17,8555.89,6337.91,23033.97,1655.45,14776.53
2013-10-10,14194.71,5146.2,9497.0164,8516.69,6430.49,22951.3,1656.4,14802.98
2013-10-11,14404.74,5228.8,9693.9709,8685.77,6487.19,23218.32,1692.56,15126.07
2013-10-15,14441.54,5259.2,9797.1765,8723.81,6549.11,23336.52,1710.14,15301.26
2013-10-16,14467.14,5264.4,9726.618,8804.44,6571.59,23228.33,1698.06,15168.01
2013-10-17,14586.51,5281.9,9844.9993,8846.0,6576.16,23094.88,1721.54,15373.83
2013-10-18,14561.54,5321.0,9934.8428,8811.98,6622.58,23340.1,1733.15,15371.65
2013-10-21,14693.57,5351.5,9934.8428,8811.98,6654.2,23438.15,1733.15,15371.65
2013-10-22,14713.25,5371.2,9982.69,8867.22,6695.66,23315.99,1744.66,15392.2
2013-10-23,14426.05,5356.8,10056.6,8947.46,6674.48,22999.95,1754.67,15467.66
2013-10-24,14486.41,5373.7,9990.33,8919.86,6713.18,22835.82,1746.38,15413.33
2013-10-25,14088.19,5385.7,10029.19,8980.63,6721.34,22698.34,1752.07,15509.21
2013-10-28,14396.04,5437.3,10029.19,8980.63,6721.34,22806.58,1752.07,15509.21
2013-10-29,14325.98,5410.7,10058.54,8978.65,6725.82,22846.54,1762.11,15568.93
2013-10-30,14502.35,5425.4,10108.41,9022.04,6774.73,23304.02,1771.95,15680.35
2013-10-31,14327.94,5420.3,10054.38,9010.27,6777.7,23206.37,1763.31,15618.76
2013-11-01,14201.57,5406.5,10009.65,9033.92,6731.43,23249.79,1756.54,15545.75
2013-11-05,14225.37,5425.7,10064.1069,9037.23,6763.62,23038.95,1767.93,15639.12
2013-11-06,14337.31,5426.0,10011.92,9009.11,6746.84,23036.94,1762.97,15618.22
2013-11-07,14228.44,5415.4,10059.4593,9040.87,6741.69,22881.03,1770.49,15746.88
2013-11-08,14086.8,5394.4,9924.3712,9081.03,6697.22,22744.39,1747.15,15593.98
2013-11-11,14269.84,5380.8,9924.3712,9081.03,6697.22,23069.85,1747.15,15593.98
2013-11-12,14588.68,5386.8,10042.95,9107.86,6728.37,22901.41,1771.89,15783.1
2013-11-13,14567.16,5317.5,10009.84,9076.48,6726.79,22463.83,1767.69,15750.67
2013-11-14,14876.41,5352.0,10079.8886,9054.83,6630.0,22649.15,1782.0,15821.63
2013-11-15,15165.92,5396.2,10130.52,9149.66,6666.13,23032.15,1790.62,15876.22
2013-11-18,15164.3,5377.9,10130.52,9149.66,6666.13,23660.06,1790.62,15876.22
2013-11-19,15126.56,5347.8,10167.16,9225.43,6723.46,23657.81,1791.53,15976.02
2013-11-20,15076.08,5304.6,10135.65,9193.29,6698.01,23700.86,1787.87,15967.03
2013-11-21,15365.6,5284.3,10096.44,9202.07,6681.08,23580.29,1781.37,15900.82
2013-11-22,15381.72,5330.3,10162.4005,9196.08,6681.33,23696.28,1795.85,16009.99
2013-11-25,15619.13,5346.1,10162.4005,9196.08,6681.33,23684.45,1795.85,16009.99
2013-11-26,15515.24,5350.6,10176.2,9299.95,6694.62,23681.28,1802.48,16072.54
2013-11-27,15449.63,5324.9,10167.9,9290.07,6636.22,23806.35,1802.75,16072.8
2013-11-28,15727.12,5326.6,10182.9877,9351.13,6649.47,23789.09,1807.23,16097.33
2013-11-29,15661.87,5314.3,10182.9877,9387.37,6654.47,23881.29,1807.23,16097.33
2013-12-02,15655.07,5273.5,10182.9877,9387.37,6654.47,24038.55,1807.23,16097.33
2013-12-03,15749.66,5249.6,10137.02,9401.96,6595.33,23910.47,1800.9,16008.77
2013-12-04,15407.94,5267.5,10086.73,9223.4,6532.43,23728.7,1795.15,15914.62
2013-12-05,15177.49,5196.9,10064.87,9140.63,6509.97,23712.57,1792.81,15889.77
2013-12-06,15299.86,5186.0,10016.74,9084.95,6498.33,23743.1,1785.03,15821.51
2013-12-09,15650.21,5148.4,10016.74,9084.95,6498.33,23811.17,1785.03,15821.51
2013-12-10,15611.31,5146.2,10146.26,9195.17,6559.48,23744.19,1808.37,16025.53
2013-12-11,15515.06,5109.5,10114.67,9114.44,6523.31,23338.24,1802.62,15973.13
2013-12-12,15341.82,5069.2,9991.45,9077.11,6507.72,23218.12,1782.22,15843.53
2013-12-13,15403.11,5101.5,9949.58,9017.0,6445.25,23245.96,1775.5,15739.43
2013-12-16,15152.91,5093.1,9949.58,9017.0,6445.25,23114.66,1775.5,15739.43
2013-12-17,15278.63,5106.1,10024.969,9163.56,6522.2,23069.23,1786.54,15884.57
2013-12-18,15587.8,5099.3,9989.08,9085.12,6486.19,23143.82,1781.0,15875.26
2013-12-19,15859.22,5202.0,10154.2,9181.75,6492.08,22888.75,1810.65,16167.97
2013-12-20,15870.42,5261.5,10151.53,9335.74,6584.7,22812.18,1809.6,16179.08
2013-12-25,16009.99,5261.5,10284.4,9335.74,6694.17,22812.18,1833.32,16357.55
2013-12-26,16174.44,5261.5,10284.4,9335.74,6694.17,22812.18,1833.32,16357.55
2013-12-27,16178.94,5323.8,10331.68,9335.74,6694.17,23243.24,1842.02,16479.88
2013-12-30,16291.31,5358.0,10331.68,9335.74,6694.17,23244.87,1842.02,16479.88
2014-01-06,15908.88,5327.7,10331.68,9335.74,6694.17,22684.15,1842.02,16479.88
2014-01-07,15814.37,5318.8,10270.06,9428.0,6730.73,22712.78,1826.77,16425.1
2014-01-08,16121.45,5318.7,10327.3301,9506.2,6755.45,22996.59,1837.88,16530.94
2014-01-09,15880.33,5327.5,10320.92,9497.84,6721.78,22787.33,1837.49,16462.74
2014-01-10,15912.06,5316.3,10325.7394,9421.61,6691.34,22846.25,1838.13,16444.76
2014-01-14,15422.4,5219.8,10256.15,9510.17,6757.15,22791.28,1819.2,16257.94
2014-01-15,15808.73,5255.5,10343.09,9540.51,6766.86,22902.0,1838.88,16373.86
2014-01-16,15747.2,5319.4,10385.3881,9733.81,6819.86,22986.41,1848.38,16481.94
2014-01-17,15734.46,5316.4,10376.227,9717.71,6815.42,23133.35,1845.89,16417.01
2014-01-20,15641.68,5307.6,10376.227,9717.71,6815.42,22928.95,1845.89,16417.01
2014-01-21,15795.96,5342.0,10376.227,9715.9,6836.73,23033.12,1845.89,16417.01
2014-01-22,15820.96,5331.3,10366.01,9730.12,6834.26,23082.25,1843.8,16414.44
2014-01-23,15695.89,5275.5,10368.89,9720.11,6826.33,22733.9,1844.86,16373.34
2014-01-24,15391.56,5254.3,10269.3867,9631.04,6773.28,22450.06,1828.46,16197.35
2014-01-27,15005.73,5254.3,10269.3867,9631.04,6773.28,21976.1,1828.46,16197.35
2014-01-28,14980.16,5188.0,9981.3476,9349.22,6550.66,21960.64,1781.56,15837.88
2014-01-29,15383.91,5240.6,10066.85,9406.91,6572.33,22141.61,1792.5,15928.56
2014-01-30,15007.06,5199.4,9962.9192,9336.73,6544.28,22035.42,1774.2,15738.79
2014-01-31,14914.53,5205.1,10048.69,9373.48,6538.45,22035.42,1794.19,15848.61
2014-02-03,14619.13,5201.9,10048.69,9373.48,6538.45,22035.42,1794.19,15848.61
2014-02-04,14008.47,5114.1,9741.5765,9186.52,6465.66,21397.77,1741.89,15372.8
2014-02-05,14180.38,5088.7,9816.97,9127.91,6449.27,21269.38,1755.2,15445.24
2014-02-06,14155.12,5147.4,9809.0287,9116.32,6457.89,21423.13,1751.64,15440.23
2014-02-07,14462.41,5184.5,9940.22,9256.58,6558.28,21636.85,1773.43,15628.53
2014-02-10,14718.34,5236.5,9940.22,9256.58,6558.28,21579.26,1773.43,15628.53
2014-02-12,14800.06,5319.8,10170.3695,9478.77,6672.66,22285.79,1819.75,15994.77
2014-02-13,14534.74,5318.7,10173.77,9540.0,6675.03,22165.53,1819.26,15963.94
2014-02-14,14313.03,5366.9,10228.5757,9596.77,6659.42,22298.41,1829.83,16027.59
2014-02-17,14393.11,5394.8,10228.5757,9596.77,6659.42,22535.94,1829.83,16027.59
2014-02-18,14843.24,5402.2,10228.5757,9656.76,6736.0,22587.72,1829.83,16027.59
2014-02-19,14766.53,5415.5,10319.12,9659.78,6796.43,22664.52,1840.76,16130.4
2014-02-20,14449.18,5421.3,10254.24,9660.05,6796.71,22394.08,1828.75,16040.56
2014-02-21,14865.67,5449.4,10316.89,9618.85,6812.99,22568.24,1839.78,16133.23
2014-02-24,14837.68,5450.1,10316.89,9618.85,6812.99,22388.56,1839.78,16133.23
2014-02-25,15051.6,5444.0,10369.5166,9708.94,6865.86,22317.2,1847.61,16207.14
2014-02-26,14970.97,5447.0,10353.7762,9699.35,6830.5,22437.44,1845.12,16179.66
2014-02-27,14923.11,5421.0,10349.9589,9661.73,6799.15,22828.18,1845.16,16198.41
